Assessment Name,Relative URL,Duration in mins,Remote Testing,Adaptive/IRT,Test Type,Skills,Description
Global Skills Development Report,https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/,,Yes,No,,,The 'Global Skills Development Report' is a General assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
.NET Framework 4.5,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,30.0,Yes,Yes,Knowledge & Skills,Technical Skills,The '.NET Framework 4.5' is a Knowledge & Skills assessment. Duration is 30.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: Technical Skills.
.NET MVC (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,17.0,Yes,No,Knowledge & Skills,Technical Skills,The '.NET MVC (New)' is a Knowledge & Skills assessment. Duration is 17.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
.NET MVVM (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,5.0,Yes,No,Knowledge & Skills,Technical Skills,The '.NET MVVM (New)' is a Knowledge & Skills assessment. Duration is 5.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
.NET WCF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,11.0,Yes,No,Knowledge & Skills,Technical Skills,The '.NET WCF (New)' is a Knowledge & Skills assessment. Duration is 11.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
.NET WPF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,9.0,Yes,No,Knowledge & Skills,Technical Skills,The '.NET WPF (New)' is a Knowledge & Skills assessment. Duration is 9.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
.NET XAML (New),https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,5.0,Yes,No,Knowledge & Skills,Technical Skills,The '.NET XAML (New)' is a Knowledge & Skills assessment. Duration is 5.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Accounts Payable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,9.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Accounts Payable (New)' is a Knowledge & Skills assessment. Duration is 9.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Accounts Payable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,8.0,Yes,No,Simulations,Practical Skills,The 'Accounts Payable Simulation (New)' is a Simulations assessment. Duration is 8.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Practical Skills.
Accounts Receivable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,13.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Accounts Receivable (New)' is a Knowledge & Skills assessment. Duration is 13.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
